ID,YEAR,DAY_OF_MONTH,FL_DATE,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,ARR_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,ORIGIN_TIMEZONE_CODE,DEP_TIME_UTC_MS,DEST_TIMEZONE_CODE,ARR_TIME_UTC_MS,Same_Timezone
161194,2012,22,1/22/2012,20366,EV,5316,10397,ATL,Atlanta,GA,ROA,Roanoke,VA,2311,111,111,111,357,America/New_York,1.32729E+12,America/New_York,1.32721E+12,TRUE
647327,2012,22,1/22/2012,20366,EV,5316,10397,ATL,Atlanta,GA,ROA,Roanoke,VA,2311,111,111,111,357,America/New_York,1.32729E+12,America/New_York,1.32721E+12,TRUE
157512,2012,6,1/6/2012,20366,EV,5215,10397,ATL,Atlanta,GA,ECP,Panama City,FL,2304,111,111,111,240,America/New_York,1.32591E+12,America/Chicago,1.32583E+12,FALSE
643645,2012,6,1/6/2012,20366,EV,5215,10397,ATL,Atlanta,GA,ECP,Panama City,FL,2304,111,111,111,240,America/New_York,1.32591E+12,America/Chicago,1.32583E+12,FALSE
327508,2012,29,1/29/2012,19977,UA,134,12173,HNL,Honolulu,HI,DEN,Denver,CO,2300,1237,111,111,3365,Pacific/Honolulu,1.32791E+12,America/Denver,1.32787E+12,FALSE
813641,2012,29,1/29/2012,19977,UA,134,12173,HNL,Honolulu,HI,DEN,Denver,CO,2300,1237,111,111,3365,Pacific/Honolulu,1.32791E+12,America/Denver,1.32787E+12,FALSE
104966,2012,18,1/18/2012,19790,DL,2246,12173,HNL,Honolulu,HI,SEA,Seattle,WA,2256,111,111,111,2677,Pacific/Honolulu,1.32696E+12,America/Los_Angeles,1.32688E+12,FALSE
591099,2012,18,1/18/2012,19790,DL,2246,12173,HNL,Honolulu,HI,SEA,Seattle,WA,2256,111,111,111,2677,Pacific/Honolulu,1.32696E+12,America/Los_Angeles,1.32688E+12,FALSE
49017,2012,15,1/15/2012,19930,AS,52,10754,BRW,Barrow,AK,FAI,Fairbanks,AK,2253,111,111,111,503,America/Anchorage,1.3267E+12,America/Anchorage,1.32662E+12,TRUE
535150,2012,15,1/15/2012,19930,AS,52,10754,BRW,Barrow,AK,FAI,Fairbanks,AK,2253,111,111,111,503,America/Anchorage,1.3267E+12,America/Anchorage,1.32662E+12,TRUE
1021283,2012,15,1/15/2012,19930,AS,52,10754,BRW,Barrow,AK,FAI,Fairbanks,AK,2253,111,111,111,503,America/Anchorage,1.3267E+12,America/Anchorage,1.32662E+12,TRUE
